Regional Council,Life_sat,House_sat,House_prob
Northland,0.876033058,0.900826446,0.694214876
Auckland,0.871816638,0.85483871,0.662139219
Waikato,0.847352025,0.862928349,0.644859813
Bay of Plenty,0.864485981,0.897196262,0.719626168
Gisborne,0.828571429,0.885714286,0.657142857
Hawke's Bay,0.898305085,0.898305085,0.686440678
Taranaki,0.847058824,0.858823529,0.647058824
Manawatu-Wanganui,0.844444444,0.85,0.677777778
Wellington,0.881748072,0.871465296,0.652956298
West Coast,0.846153846,0.961538462,0.730769231
Canterbury,0.860045147,0.835214447,0.663656885
Otago,0.864705882,0.829411765,0.588235294
Southland,0.917808219,0.917808219,0.780821918
Tasman/Nelson,0.840909091,0.909090909,0.693181818
Marlborough,0.916666667,0.916666667,0.666666667
